3.200000000000000000e+01,3.624605338777582286e-01,1.046230468605446884e+00
3.422015035427414631e+01,3.172423319801767061e-01,1.053944143160037594e+00
3.659433407091028556e+01,2.787885721529794747e-01,1.053293319317707866e+00
3.913323793815897744e+01,2.459574546499641579e-01,1.046205457562356500e+00
4.184829019041829667e+01,2.178244529787266570e-01,1.034196924709180898e+00
4.475171194954409515e+01,1.936340655093734542e-01,1.018469723230091439e+00
4.785657223514265723e+01,1.727648667449576403e-01,9.999804203341734476e-01
5.117684679146138649e+01,1.547036881939079511e-01,9.794942391668551851e-01
5.472748099567066760e+01,1.390255902908594798e-01,9.576272816905002649e-01
5.852445713070409994e+01,1.253776885145040931e-01,9.348783311907549187e-01
6.258486632546769357e+01,1.134659227522845371e-01,9.116524312370711813e-01
6.692698548623917532e+01,1.030443046475000846e-01,8.882787057474943460e-01
7.157035956554463496e+01,9.390626033270846329e-02,8.650243208814659690e-01
7.653588953882501755e+01,8.587767714903511707e-02,8.421057064102442924e-01
8.184592648489719124e+01,7.881129404945773353e-02,8.196976373365528756e-01
8.752437219368907506e+01,7.258214661425091419e-02,7.979405724674386580e-01
9.359678675410917492e+01,6.708384918666976393e-02,7.769465828408846919e-01
1.000905036063296620e+02,6.222554820982239415e-02,7.568041493843832290e-01
1.070347525763631893e+02,5.792941535784688900e-02,7.375820437026137100e-01
1.144607914467400320e+02,5.412857491739848231e-02,7.193324495443326194e-01
1.224020466555206355e+02,5.076538108752225165e-02,7.020934447921479693e-01
1.308942637569623457e+02,4.778997810802109586e-02,6.858909396311480000e-01
1.399756683211021766e+02,4.515908987200004110e-02,6.707401508196185747e-01
1.496871379965039068e+02,4.283499684651093792e-02,6.566466840641774771e-01
